Pdemand,Pvre,Pbattery,Pgas,Ebattery,Egas
28.6900142,61.05566322804694,0.0,-18.250185311273825,170.37712424708138,30519.91043763347
31.2084578,62.92985704314372,-13.471213931869892,-18.250185311273828,170.37712424708138,30530.678046967118
27.6996061,64.04951772585531,-18.09972631458148,-18.250185311273825,182.5012167857643,30541.445656300773
27.9874884,64.41852023904961,-18.180846527775785,-18.250185311273828,198.79097046888765,30552.213265634426
28.1626729,64.00117820224507,0.0,-18.250185311273825,215.15373234388582,30562.98087496807
28.0213627,64.18950314776565,0.0,-18.250185311273825,215.15373234388582,30573.748484301723
29.0016469,64.31520116662206,0.0,-18.250185311273828,215.15373234388585,30584.51609363538
27.7816746,65.05836034074017,0.0,-18.250185311273828,215.15373234388585,30595.28370296903
31.1353806,73.4374511034583,0.0,-18.250185311273828,215.15373234388585,30606.051312302683
37.2348662,86.08521119303892,0.0,-18.250185311273828,215.15373234388582,30616.81892163634
40.0628793,98.42427531339106,0.0,-18.250185311273828,215.15373234388588,30627.586530969984
43.6825651,105.47152134956015,-33.571221833908645,-18.250185311273828,215.15373234388585,30638.354140303632
46.7337019,104.23346141125407,0.0,-18.250185311273828,245.36783199440364,30649.12174963729
44.5226231,94.46958799609693,0.0,-18.250185311273828,245.3678319944036,30659.88935897094
37.0667566,80.35315721116999,0.0,-18.250185311273828,245.36783199440362,30670.65696830459
33.4570634,67.6368460960255,0.0,-18.250185311273828,245.36783199440364,30681.424577638238
31.3764587,63.01089549844403,0.0,-18.250185311273825,245.36783199440362,30692.192186971894
32.2458528,63.08010391617361,0.0,-18.250185311273828,245.36783199440362,30702.95979630554
34.0323342,62.15180905461863,0.0,-18.250185311273828,245.3678319944036,30713.72740563919
37.0129465,60.763054906297164,0.0,-18.250185311273825,245.36783199440362,30724.495014972843
40.3579671,58.48287851089379,0.1252739003800327,-18.250185311273825,245.36783199440364,30735.262624306495
37.9364121,56.47020188189226,0.0,-18.250185311273828,245.23596473084572,30746.030233640144
35.6285041,54.813572007475734,-0.14651918173103792,-18.250185311273828,245.23596473084567,30756.7978429738
31.3012444,52.453546308650346,0.0,-18.250185311273828,245.36783199440364,30767.565452307448
32.1525173,50.36042588982821,0.04227672144561692,-18.250185311273825,245.36783199440364,30778.333061641093
34.4690083,49.02515209007519,3.694041521198623,-18.250185311273825,245.3233301823556,30789.100670974745
31.9061382,47.772862610985385,2.3834609002884375,-18.250185311273825,241.4348654231992,30799.868280308398
31.5493311,46.54586562287169,3.253650788402149,-18.250185311273828,238.92595921236926,30810.635889642053
31.2873891,46.22189466557754,3.3156797456962903,-18.250185311273828,235.50106364563015,30821.4034989757
30.0857013,45.00110980619265,3.3347768050811766,-18.250185311273828,232.01087443963405,30832.171108309347
31.4038857,42.37038813161516,7.28368287965866,-18.250185311273825,228.5005830658644,30842.938717643
35.1676041,40.83770603714158,12.580083374132242,-18.250185311273828,220.83354845569735,30853.70632697665
35.8261214,50.64051843654234,3.435788274731473,-18.250185311273828,207.591355430295,30864.4739363103
39.428769,62.956350054241604,0.0,-18.250185311273825,203.97473619373557,30875.241545643952
51.4272051,79.89123747047685,-2.9331219546124827,-18.250185311273828,203.97473619373554,30886.009154977608
55.9403869,91.81582274840731,-17.625250537133486,-18.250185311273828,206.6145459528868,30896.776764311257
59.5799479,93.9734078689558,-16.143274657681975,-18.250185311273828,222.4772714363069,30907.544373644905
57.8319686,85.37283542925485,-9.29068151798102,-18.250185311273828,237.0062186282207,30918.311982978554
54.2666448,68.22110319230191,0.0,-13.95445839230193,245.36783199440362,30929.079592312202
50.8549101,42.09352878361713,0.0,8.761381316382874,245.36783199440364,30937.312722763658
40.2052368,29.469439179318577,3.913563591535514e-15,10.735797620681415,245.36783199440362,30917.84298650503
40.5821938,28.085077687077295,0.0,12.497116112922702,245.36783199440367,30893.98565845907
45.9555047,25.02970649100343,0.0,20.925798208996568,245.36783199440364,30866.214289319236
49.2856458,21.763217557748938,0.0,27.522428242251056,245.36783199440362,30819.712515521467
43.8713254,19.004317475157073,0.0,24.867007924842934,245.36783199440367,30758.551563872017
43.169456,17.15889221812151,0.0,26.010563781878478,245.36783199440362,30703.29154626125
44.2828854,15.989136610455882,0.0,28.29374878954411,245.36783199440364,30645.490293412633
40.9690453,15.670578947571837,0.0,25.29846635242816,245.36783199440362,30582.615296102536
41.346593,15.81706074678452,0.0,25.52953225321548,245.36783199440364,30526.39648198603
50.1122722,15.896478836116938,0.0,34.21579336388305,245.36783199440364,30469.66418808999
